iter	Passed	Remaining
0	75	15030
1	86	8556
2	102	6711
3	118	5808
4	134	5238
5	150	4879
6	164	4525
7	175	4220
8	193	4105
9	214	4066
10	226	3893
11	243	3810
12	259	3728
13	296	3940
14	315	3885
15	332	3823
16	461	4971
17	480	4862
18	511	4875
19	532	4796
20	554	4723
21	574	4645
22	615	4734
23	636	4667
24	660	4622
25	690	4621
26	747	4789
27	766	4708
28	783	4621
29	802	4548
30	852	4645
31	873	4588
32	892	4514
33	904	4415
34	928	4378
35	948	4322
36	967	4261
37	984	4198
38	1000	4131
39	1015	4063
40	1034	4012
41	1057	3976
42	1077	3933
43	1097	3890
44	1110	3826
45	1122	3759
46	1139	3710
47	1156	3662
48	1170	3607
49	1186	3560
50	1203	3515
51	1217	3466
52	1233	3421
53	1252	3385
54	1270	3348
55	1286	3307
56	1305	3274
57	1326	3248
58	1346	3217
59	1368	3193
60	1396	3183
61	1412	3144
62	1431	3113
63	1454	3090
64	1475	3064
65	1497	3039
66	1515	3008
67	1534	2979
68	1555	2953
69	1592	2957
70	1633	2967
71	1687	3000
72	1726	3003
73	1744	2970
74	1830	3051
75	1867	3046
76	1895	3027
77	1940	3034
78	1964	3008
79	2022	3033
80	2052	3015
81	2112	3039
82	2158	3042
83	2173	3002
84	2215	2997
85	2306	3057
86	2338	3036
87	2358	3002
88	2389	2980
89	2408	2944
90	2424	2903
91	2477	2907
92	2530	2911
93	2551	2877
94	2578	2850
95	2604	2821
96	2621	2783
97	2661	2769
98	2677	2731
99	2713	2713
100	2746	2691
101	2763	2655
102	2806	2642
103	2821	2604
104	2845	2574
105	2863	2539
106	2879	2503
107	2899	2470
108	2916	2435
109	2930	2397
110	2981	2390
111	3000	2357
112	3017	2323
113	3029	2285
114	3045	2250
115	3063	2218
116	3079	2184
117	3103	2156
118	3151	2145
119	3171	2114
120	3186	2080
121	3205	2049
122	3222	2017
123	3235	1983
124	3250	1950
125	3268	1919
126	3283	1887
127	3301	1857
128	3319	1827
129	3344	1801
130	3369	1774
131	3391	1747
132	3412	1718
133	3432	1690
134	3463	1667
135	3482	1638
136	3499	1609
137	3515	1579
138	3556	1560
139	3567	1528
140	3577	1496
141	3601	1471
142	3617	1442
143	3631	1412
144	3648	1384
145	3666	1355
146	3671	1323
147	3690	1296
148	3707	1269
149	3716	1238
150	3726	1209
151	3738	1180
152	3749	1151
153	3761	1123
154	3774	1095
155	3790	1069
156	3810	1043
157	3831	1018
158	3848	992
159	3865	966
160	3885	941
161	3902	915
162	3922	890
163	3962	869
164	3979	844
165	3998	818
166	4015	793
167	4034	768
168	4050	743
169	4067	717
170	4110	697
171	4127	671
172	4143	646
173	4154	620
174	4168	595
175	4184	570
176	4201	545
177	4217	521
178	4234	496
179	4247	471
180	4260	447
181	4277	423
182	4293	398
183	4310	374
184	4323	350
185	4339	326
186	4352	302
187	4368	278
188	4384	255
189	4401	231
190	4415	208
191	4433	184
192	4447	161
193	4459	137
194	4476	114
195	4493	91
196	4508	68
197	4519	45
198	4536	22
199	4551	0
