Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,sqr_Annual Income,sqrt_Annual Income,sqr_Tax Liens,sqrt_Tax Liens,sqr_Number of Open Accounts,sqrt_Number of Open Accounts,sqr_Years of Credit History,sqrt_Years of Credit History,sqr_Maximum Open Credit,sqrt_Maximum Open Credit,sqr_Number of Credit Problems,sqrt_Number of Credit Problems,sqr_Months since last delinquent,sqrt_Months since last delinquent,sqr_Bankruptcies,sqrt_Bankruptcies,sqr_Current Loan Amount,sqrt_Current Loan Amount,sqr_Current Credit Balance,sqrt_Current Credit Balance,sqr_Monthly Debt,sqrt_Monthly Debt,sqr_Credit Score,sqrt_Credit Score,Term_bin,Years in current job_1 year,Years in current job_10more years,Years in current job_2 years,Years in current job_3 years,Years in current job_4 years,Years in current job_5 years,Years in current job_6 years,Years in current job_7 years,Years in current job_8 years,Years in current job_9 years,Years in current job_less 1 year,Purpose_business loan,Purpose_buy a car,Purpose_buy house,Purpose_debt consolidation,Purpose_educational expenses,Purpose_home improvements,Purpose_major purchase,Purpose_medical bills,Purpose_moving,Purpose_other,Purpose_renewable energy,Purpose_small business,Purpose_take a trip,Purpose_vacation,Purpose_wedding,Term_Long Term,Term_Short Term,Id
Own Home,482087.0,10+ years,0.0,11.0,26.3,685960.0,1.0,34.69260017548991,1.0,debt consolidation,Short Term,99999999.0,47386.0,7914.0,749.0,0,232407875569.0,694.3248519245152,0.0,0.0,121.0,3.3166247903554,691.69,5.128352561983234,470541121600.0,828.2270220175142,1.0,1.0,1203.5765069364024,5.890042459565967,1.0,1.0,9999999800000000.0,9999.99995,2245432996.0,217.6832561314719,62631396.0,88.9606654651369,561001.0,27.367864366808018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Own Home,1025487.0,10+ years,0.0,15.0,15.3,1181730.0,0.0,34.69260017548991,0.0,debt consolidation,Long Term,264968.0,394972.0,18373.0,737.0,1,1051623587169.0,1012.6633201612469,0.0,0.0,225.0,3.872983346207417,234.09000000000003,3.9115214431215892,1396485792900.0,1087.0740545151466,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,70208041024.0,514.7504249633992,156002880784.0,628.4679785000983,337567129.0,135.5470398053753,543169.0,27.147743920996454,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Home Mortgage,751412.0,8 years,0.0,11.0,35.0,1182434.0,0.0,34.69260017548991,0.0,debt consolidation,Short Term,99999999.0,308389.0,13651.0,742.0,0,564619993744.0,866.8402390290843,0.0,0.0,121.0,3.3166247903554,1225.0,5.916079783099616,1398150164356.0,1087.3978112907898,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,9999999800000000.0,9999.99995,95103775321.0,555.3278311051951,186349801.0,116.83749398202616,550564.0,27.23967694375247,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Own Home,805068.0,6 years,0.0,8.0,22.5,147400.0,1.0,34.69260017548991,1.0,debt consolidation,Short Term,121396.0,95855.0,11338.0,694.0,0,648134484624.0,897.2558163645416,0.0,0.0,64.0,2.8284271247461903,506.25,4.743416490252569,21726760000.0,383.92707640904933,1.0,1.0,1203.5765069364024,5.890042459565967,1.0,1.0,14736988816.0,348.4192876406242,9188181025.0,309.6045865293342,128550244.0,106.48004507887852,481636.0,26.343879744638983,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Rent,776264.0,8 years,0.0,13.0,13.6,385836.0,1.0,34.69260017548991,0.0,debt consolidation,Short Term,125840.0,93309.0,7180.0,719.0,0,602585797696.0,881.0584543604357,0.0,0.0,169.0,3.605551275463989,184.95999999999998,3.687817782917155,148869418896.0,621.1569849884971,1.0,1.0,1203.5765069364024,5.890042459565967,0.0,0.0,15835705600.0,354.73934092513616,8706569481.0,305.46521896936156,51552400.0,84.73488065725944,516961.0,26.814175355583846,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Rent,1366391.7201749957,7 years,0.0,12.0,14.6,366784.0,0.0,34.69260017548991,0.0,other,Long Term,337304.0,165680.0,18692.0,1151.0874978966851,1,1867026332962.7837,1168.9275940685957,0.0,0.0,144.0,3.4641016151377544,213.16,3.82099463490856,134530502656.0,605.6269478812844,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,113773988416.0,580.7787874914166,27449862400.0,407.0380817564863,349390864.0,136.7186892857008,1325002.427814051,33.927680408431776,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5
Home Mortgage,1511108.0,10+ years,0.0,9.0,20.3,388124.0,0.0,73.0,0.0,home improvements,Short Term,99999999.0,51623.0,2317.0,745.0,0,2283447387664.0,1229.2713288773964,0.0,0.0,81.0,3.0,412.09000000000003,4.505552130427524,150640239376.0,622.9959871459847,0.0,0.0,5329.0,8.54400374531753,0.0,0.0,9999999800000000.0,9999.99995,2664934129.0,227.20695411892657,5368489.0,48.13522618623496,555025.0,27.294688127912362,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6
Rent,1040060.0,10+ years,0.0,13.0,12.0,330374.0,0.0,18.0,0.0,other,Short Term,250888.0,89015.0,19761.0,705.0,1,1081724803600.0,1019.8333197145503,0.0,0.0,169.0,3.605551275463989,144.0,3.4641016151377544,109146979876.0,574.7816976905232,0.0,0.0,324.0,4.242640687119285,0.0,0.0,62944788544.0,500.8872128533528,7923670225.0,298.3538168014614,390497121.0,140.57382402140166,497025.0,26.551836094703507,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7
Home Mortgage,1366391.7201749957,5 years,0.0,17.0,15.7,0.0,1.0,34.69260017548991,1.0,home improvements,Short Term,129734.0,19.0,17.0,1151.0874978966851,0,1867026332962.7837,1168.9275940685957,0.0,0.0,289.0,4.123105625617661,246.48999999999998,3.96232255123179,0.0,0.0,1.0,1.0,1203.5765069364024,5.890042459565967,1.0,1.0,16830910756.0,360.18606302854084,361.0,4.358898943540674,289.0,4.123105625617661,1325002.427814051,33.927680408431776,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8
Home Mortgage,1366391.7201749957,1 year,0.0,10.0,24.6,511302.0,0.0,6.0,0.0,debt consolidation,Long Term,572880.0,205333.0,17613.0,1151.0874978966851,1,1867026332962.7837,1168.9275940685957,0.0,0.0,100.0,3.1622776601683795,605.1600000000001,4.959838707054898,261429735204.0,715.0538441264406,0.0,0.0,36.0,2.449489742783178,0.0,0.0,328191494400.0,756.8883669339884,42161640889.0,453.13684467277653,310217769.0,132.713978163568,1325002.427814051,33.927680408431776,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9
Home Mortgage,1366391.7201749957,< 1 year,0.0,7.0,11.5,256322.0,0.0,34.69260017548991,0.0,debt consolidation,Short Term,220858.0,187492.0,14592.0,1151.0874978966851,0,1867026332962.7837,1168.9275940685957,0.0,0.0,49.0,2.6457513110645907,132.25,3.391164991562634,65700967684.0,506.28252981907247,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,48778256164.0,469.95531702492735,35153250064.0,433.00346418937573,212926464.0,120.797350964332,1325002.427814051,33.927680408431776,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10
Home Mortgage,1828560.0,4 years,0.0,12.0,17.6,839080.0,0.0,34.69260017548991,0.0,debt consolidation,Short Term,441100.0,402914.0,15528.0,737.0,0,3343631673600.0,1352.2425817877502,0.0,0.0,144.0,3.4641016151377544,309.76000000000005,4.1952353926806065,704055246400.0,916.0131003430027,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,194569210000.0,664.1535966928133,162339691396.0,634.7550708737978,241118784.0,124.61139594756172,543169.0,27.147743920996454,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11
